symbol,isin,name,currency,size,domicile,exchange,instrument,ter,ticker,wkn
IE000CN8T855,IE000CN8T855,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF EUR Hedged (acc),EUR,1045.0,Ireland,"gettex, XETRA, SIX Swiss Exchange, Borsa Italiana",ETF,0.2,JUHE,A3C4Y6
IE00B7K93397,IE00B7K93397,UBS Core S&P 500 UCITS ETF USD dis,USD,1035.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.03,UBU9,A1JVB5
LU0136240974,LU0136240974,UBS Core MSCI Japan UCITS ETF JPY dis,JPY,1035.0,Luxembourg,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.12,UIM5,794361
IE00BSKRJZ44,IE00BSKRJZ44,iShares USD Treasury Bond 20+yr UCITS ETF USD (Dist),USD,1031.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange",ETF,0.07,IS04,A12HL9
IE00B6YX5F63,IE00B6YX5F63,SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF,EUR,1030.0,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.15,SYB3,A1JKSV
LU1931975079,LU1931975079,Amundi Core EUR Corporate Bond UCITS ETF EUR Dist,EUR,1028.0,Luxembourg,"gettex, XETRA, London, Stuttgart, Borsa Italiana",ETF,0.07,PR1C,A2PBLN
IE00BD8PGZ49,IE00BD8PGZ49,iShares USD Treasury Bond 20+yr UCITS ETF EUR Hedged (Dist),EUR,1022.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange",ETF,0.1,IUSV,A2DXN8
IE00B27YCK28,IE00B27YCK28,iShares MSCI EM Latin America UCITS ETF (Dist),USD,1020.0,Ireland,"gettex, XETRA, London, Stuttgart, Borsa Italiana, Euronext Amsterdam",ETF,0.2,IUSC,A0NA45
IE0002EI5AG0,IE0002EI5AG0,Xtrackers S&P 500 Equal Weight UCITS ETF 2C EUR Hedged,EUR,1020.0,Ireland,"gettex, XETRA, Borsa Italiana",ETF,0.3,XDEE,DBX0P9
LU1291098827,LU1291098827,BNP Paribas Easy MSCI EMU Min TE UCITS ETF,EUR,1019.0,Luxembourg,"gettex, XETRA, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.15,EMUX,A2AL1W
IE0009DRDY20,IE0009DRDY20,Amundi Prime Global UCITS ETF Acc,USD,1018.0,Ireland,"gettex, XETRA",ETF,0.05,F50A,ETF210
LU0290357259,LU0290357259,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1C,EUR,1016.0,Luxembourg,"gettex, XETRA, Stuttgart, Borsa Italiana",ETF,0.15,X710,DBX0AG
IE0004MFRED4,IE0004MFRED4,Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF 1C,USD,1014.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.17,XZEW,DBX0S3
IE0009VWHAE6,IE0009VWHAE6,iShares US Equity Enhanced Active UCITS ETF USD (Acc),USD,1010.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.2,USEE,A40C72
LU0524480265,LU0524480265,Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C,EUR,1009.0,Luxembourg,"gettex, XETRA, Stuttgart, Borsa Italiana",ETF,0.15,XY4P,DBX0HM
IE00BDFK1573,IE00BDFK1573,iShares USD Treasury Bond 1-3yr UCITS ETF EUR Hedged (Acc),EUR,1004.0,Ireland,"gettex, XETRA, London",ETF,0.1,2B7S,A2JE39
IE000U9ODG19,IE000U9ODG19,iShares Global Aerospace & Defence UCITS ETF USD (Acc),USD,1003.0,Ireland,"gettex, XETRA, London, Euronext Paris, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.35,5J50,A3E1JS
LU2197908721,LU2197908721,Amundi Core Nasdaq-100 Swap UCITS ETF Dist,USD,1002.0,Luxembourg,"gettex, XETRA, SIX Swiss Exchange",ETF,0.22,NADQ,LYX05V
IE000QIF5N15,IE000QIF5N15,Amundi Prime Global UCITS ETF Dist,USD,1002.0,Ireland,"gettex, XETRA, London, Borsa Italiana",ETF,0.05,MWOL,ETF211
LU1940199711,LU1940199711,Amundi MSCI Europe ESG Selection UCITS ETF Acc,EUR,1001.0,Luxembourg,"gettex, XETRA, London, Euronext Paris, SIX Swiss Exchange, Borsa Italiana",ETF,0.2,LEAD,LYX99A
FR0010342592,FR0010342592,Amundi Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc,EUR,1037.0,France,"gettex, XETRA, Euronext Paris, Borsa Italiana",ETF,0.6,L8I7,A0LC12
FR0010755611,FR0010755611,Amundi MSCI USA Daily (2x) Leveraged UCITS ETF Acc,EUR,1020.0,France,"gettex, XETRA, Euronext Paris, Stuttgart, Borsa Italiana",ETF,0.5,18MF,A0X8ZS
