isin,ticker,exchange,name,currency,ter
IE0005042456,-,Chi-X Europe,iShares Core FTSE 100 UCITS ETF GBP (Dist),USD,0.07
IE0005042456,ISF,Borsa Italiana,iShares Core FTSE 100 UCITS ETF GBP (Dist),EUR,0.07
IE0005042456,ISFA,Euronext Amsterdam,iShares Core FTSE 100 UCITS ETF GBP (Dist),EUR,0.07
IE0005042456,ISFU,London Stock Exchange,iShares Core FTSE 100 UCITS ETF GBP (Dist),USD,0.07
IE0005042456,ISF,SIX Swiss Exchange,iShares Core FTSE 100 UCITS ETF GBP (Dist),CHF,0.07
IE0005042456,IUSZ,XETRA,iShares Core FTSE 100 UCITS ETF GBP (Dist),EUR,0.07
IE00BGSF1X88,IBC1,gettex,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),EUR,0.07
IE00BGSF1X88,IB01,London Stock Exchange,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),USD,0.07
IE00BGSF1X88,IB01,SIX Swiss Exchange,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),USD,0.07
IE00B6YX5C33,SPY5,gettex,SPDR S&P 500 UCITS ETF (Dist),EUR,0.03
IE00B6YX5C33,SPY5,Stuttgart Stock Exchange,SPDR S&P 500 UCITS ETF (Dist),EUR,0.03
IE00B6YX5C33,SPY5,Borsa Italiana,SPDR S&P 500 UCITS ETF (Dist),EUR,0.03
IE00B6YX5C33,SPY5,Euronext Paris,SPDR S&P 500 UCITS ETF (Dist),EUR,0.03
IE00B6YX5C33,SPY5,London Stock Exchange,SPDR S&P 500 UCITS ETF (Dist),USD,0.03
IE00B6YX5C33,SPX5,London Stock Exchange,SPDR S&P 500 UCITS ETF (Dist),GBP,0.03
IE00B6YX5C33,SPY5,SIX Swiss Exchange,SPDR S&P 500 UCITS ETF (Dist),USD,0.03
IE00B6YX5C33,SPY5,XETRA,SPDR S&P 500 UCITS ETF (Dist),EUR,0.03
LU0908500753,LYP6,gettex,Amundi Core Stoxx Europe 600 UCITS ETF Acc,EUR,0.07
LU0908500753,LYP6,Stuttgart Stock Exchange,Amundi Core Stoxx Europe 600 UCITS ETF Acc,EUR,0.07
LU0908500753,MEUD,Borsa Italiana,Amundi Core Stoxx Europe 600 UCITS ETF Acc,EUR,0.07
LU0908500753,-,Borsa Italiana,Amundi Core Stoxx Europe 600 UCITS ETF Acc,EUR,0.07
LU0908500753,MEUD,Euronext Paris,Amundi Core Stoxx Europe 600 UCITS ETF Acc,EUR,0.07
LU0908500753,MEUD,London Stock Exchange,Amundi Core Stoxx Europe 600 UCITS ETF Acc,GBX,0.07
