isin,listing,trade_currency,ticker,reuters_ric,bloomberg,market_maker
IE00BK5BQT80,Frankfurt Stock Exchange,EUR,-,,IVWRAEUR,
IE00BK5BQT80,Euronext Amsterdam,EUR,VWCE,VWCE.AS,VWCE NA IVWRAEUR,
IE00BK5BQT80,London Stock Exchange,USD,VWRA,VWRA.L,VWRA LN IVWRAUSD,
IE00BK5BQT80,London Stock Exchange,GBP,VWRP,VWRP.L,VWRP LN IVWRAGBP,
IE00BK5BQT80,SIX Swiss Exchange,CHF,VWRA,VWRA.S,VWRA SW IVWRACHF,
IE00BK5BQT80,XETRA,EUR,VWCE,VWCE.DE,VWCE GY IVWRAEUR,
IE00BFMXXD54,gettex,EUR,VUAA,- -,- -,-
IE00BFMXXD54,Bolsa Mexicana de Valores,MXN,-,VUAAN.MX,VUAAN MM,
IE00BFMXXD54,Bolsa Mexicana de Valores,USD,-,,,
IE00BFMXXD54,Borsa Italiana,EUR,VUAA,,IVUAAEUR,
IE00BFMXXD54,Frankfurt Stock Exchange,EUR,-,,IVUAAEUR,
IE00BFMXXD54,London Stock Exchange,USD,VUAA,VUAA.L,VUAA LN IVUAAUSD,
IE00BFMXXD54,London Stock Exchange,GBP,VUAG,VAVUAG.L,VUAG LN IVUAAGBP,
IE00BFMXXD54,XETRA,EUR,VUAA,VUA1.DE,VUAA GY IVUAAEUR,
IE00B579F325,SIX Swiss Exchange,USD,SGLD,- -,- -,-
IE00B579F325,Euronext Amsterdam,EUR,SGLD,- -,- -,-
IE00B579F325,Borsa Italiana,EUR,SGLD,- -,- -,-
IE00B579F325,London Stock Exchange,GBX,SGLP,- -,- -,-
IE00B579F325,London Stock Exchange,USD,SGLD,- -,- -,-
IE00B579F325,XETRA,EUR,8PSG,- -,- -,-
IE00B579F325,gettex,EUR,8PSG,- -,- -,-
IE00B6R52259,London Stock Exchange,GBX,SSAC,- -,- -,-
IE00B6R52259,gettex,EUR,IUSQ,- -,- -,-
IE00B6R52259,Stuttgart Stock Exchange,EUR,IUSQ,- -,- -,-
IE00B6R52259,Borsa Italiana,EUR,ISAC,- -,- -,-
IE00B6R52259,Bolsa Mexicana de Valores,MXN,-,ISACN.MX,ISACN MM,
IE00B6R52259,Euronext Amsterdam,EUR,SSAC,SSAC.AS,SSAC AS,
IE00B6R52259,London Stock Exchange,USD,ISAC,ISACI.L ISACUINAV.DE,ISAC LN INAVSACU,
IE00B6R52259,London Stock Exchange,GBP,-,SSAC.L ISACGINAV.DE,SSAC LN INAVSACG,
IE00B6R52259,SIX Swiss Exchange,CHF,SSAC,,,
IE00B6R52259,SIX Swiss Exchange,USD,SSAC,SSAC.S ISACUINAV.DE,SSAC SE INAVSACU,
IE00B6R52259,XETRA,EUR,IUSQ,IUSQ.DE ISACEINAV.DE,IUSQ GY INAVSACE,
DE000A0S9GB0,XETRA,EUR,4GLD,- -,- -,-
DE000A0S9GB0,gettex,EUR,4GLD,- -,- -,-
DE000A0S9GB0,Stuttgart Stock Exchange,EUR,4GLD,- -,- -,-
IE00B53SZB19,London Stock Exchange,GBX,CNX1,- -,- -,-
IE00B53SZB19,gettex,EUR,SXRV,- -,- -,-
IE00B53SZB19,Stuttgart Stock Exchange,EUR,SXRV,- -,- -,-
IE00B53SZB19,Bolsa Mexicana de Valores,MXN,-,CNDXN.MX,CNDXN MM,
IE00B53SZB19,Borsa Italiana,EUR,CSNDX,CSNDX.MI IXM0341.DE,CSNDX IM IXM0341,
IE00B53SZB19,Euronext Amsterdam,EUR,CNDX,CNDX.AS IXM0341.DE,CNDX NA IXM0341,
IE00B53SZB19,London Stock Exchange,USD,CNDX,CNDX.L IXM034.DE,CNDX LN IXM034,
IE00B53SZB19,London Stock Exchange,GBP,-,CNX1.L IXM0342.DE,CNX1 LN IXM0342,
IE00B53SZB19,SIX Swiss Exchange,USD,CSNDX,CSNDX.S IXM034.DE,CSNDX SE IXM034,
IE00B53SZB19,XETRA,EUR,SXRV,SXRV.DE IXM0341.DE,SXRV GY IXM0341,
IE00B3RBWM25,Euronext Paris,EUR,VWRL,- -,- -,-
IE00B3RBWM25,gettex,EUR,VGWL,- -,- -,-
IE00B3RBWM25,Stuttgart Stock Exchange,EUR,VGWL,- -,- -,-
IE00B3RBWM25,Bolsa Mexicana de Valores,MXN,-,VWRDN.MX,VWRDN MM,
IE00B3RBWM25,Bolsa Mexicana de Valores,USD,-,,,
IE00B3RBWM25,Borsa Italiana,EUR,VWRL,,IVWRL,
IE00B3RBWM25,Frankfurt Stock Exchange,EUR,-,,IVWRL,
IE00B3RBWM25,Euronext Amsterdam,EUR,VWRL,VWRL.AS,VWRL NA IVWRLEUR,
IE00B3RBWM25,London Stock Exchange,USD,VWRD,VWRD.L,VWRD LN IVWRDUSD,
IE00B3RBWM25,London Stock Exchange,GBP,VWRL,VWRL.L,VWRL LN IVWRLGBP,
IE00B3RBWM25,SIX Swiss Exchange,CHF,VWRL,VWRL.S,VWRL SW IVWRLCHF,
