symbol,isin,name,currency,size,domicile,exchange,instrument,ter,ticker,wkn
XS3068774887,XS3068774887,IncomeShares Alibaba (BABA) Options ETP,USD,1,Ireland,"gettex, XETRA, London, Euronext Amsterdam",ETN,0.55,BABY,A4AN0Z
IE0001JABD69,IE0001JABD69,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF EUR Hedged (acc),EUR,1,Ireland,"gettex, XETRA, SIX Swiss Exchange, Borsa Italiana",ETF,0.25,JRWE,A40FFB
IE0004X8KUG5,IE0004X8KUG5,First Trust Vest U.S. Equity Buffer UCITS ETF - October Class A Accumulation,USD,1,Ireland,"gettex, XETRA, London",ETF,0.85,FOCT,A41F9E
IE000ANOU8J3,IE000ANOU8J3,iShares India INR Government Bond UCITS ETF USD (Acc),USD,1,Ireland,"gettex, XETRA",ETF,0.35,CEB6,A40PJU
IE000AYJ75E5,IE000AYJ75E5,Invesco BulletShares 2026 EUR Corporate Bond UCITS ETF Dist,EUR,1,Ireland,"gettex, XETRA, SIX Swiss Exchange, Borsa Italiana",ETF,0.1,BE26,A400MC
IE000IF0HTJ9,IE000IF0HTJ9,Fidelity Global Government Bond Climate Aware UCITS ETF USD Inc,USD,1,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.2,FFGG,A3DU9P
LU3028243478,LU3028243478,UBS EUR AAA CLO UCITS ETF hCHF acc,CHF,1,Luxembourg,SIX Swiss Exchange,ETF,0.28,CLOEUC,A415BX
LU1920015366,LU1920015366,Xtrackers MSCI EMU UCITS ETF 4C,EUR,1,Luxembourg,"gettex, XETRA",ETF,0.12,XEMU,DBX0RC
LU1459800030,LU1459800030,UBS Core BBG US Treasury 10+ UCITS ETF USD acc,USD,1,Luxembourg,"gettex, XETRA, SIX Swiss Exchange, Borsa Italiana",ETF,0.05,CHSQ,A2APAG
LU3025345789,LU3025345789,BNP Paribas Easy EUR Overnight UCITS ETF Dist,EUR,1,Luxembourg,"gettex, XETRA",ETF,0.05,EDET,A41MWT
IE000N4E8XZ6,IE000N4E8XZ6,iShares iBonds Dec 2029 Term USD High Yield Corporate UCITS ETF USD (Dist),USD,1,Ireland,Euronext Amsterdam,ETF,0.25,29IU,A419YW
IE000FZ1S3M3,IE000FZ1S3M3,iShares USD Corporate Bond ESG SRI​ UCITS ETF EUR Hedged (Acc),EUR,1,Ireland,"gettex, XETRA",ETF,0.17,CEMJ,A41F45
LU1645385912,LU1645385912,UBS J.P. Morgan USD EM Diversified Bond 1-5 UCITS ETF USD acc,USD,1,Luxembourg,SIX Swiss Exchange,ETF,0.35,SHEMBA,A2DUHS
IE000B5UZSG9,IE000B5UZSG9,Fidelity Japan Equity Research Enhanced UCITS ETF INC-JPY,JPY,1,Ireland,"gettex, XETRA",ETF,0.25,FJPI,A3ENLE
LU1923163759,LU1923163759,Amundi Floating Rate Euro Corporate ESG UCITS ETF USD Hedged (C),USD,1,Luxembourg,"gettex, Euronext Paris",ETF,0.2,XPAB,A2PBLC
DE000A3GWNE8,DE000A3GWNE8,VanEck Algorand ETN,USD,1,Liechtenstein,"gettex, XETRA",ETN,1.5,VGND,A3GWNE
IE00032L0R44,IE00032L0R44,iShares iBonds Dec 2035 Term USD Corporate UCITS ETF USD (Dist),USD,1,Ireland,Euronext Amsterdam,ETF,0.12,35ID,A41A8Q
IE00BD6RZZ53,IE00BD6RZZ53,WisdomTree US Equity Income UCITS ETF GBP Hedged Acc,GBP,1,Ireland,"London, SIX Swiss Exchange",ETF,0.35,DHSG,A2DH1W
IE000OV4XWA3,IE000OV4XWA3,WisdomTree Eurozone Efficient Core UCITS ETF EUR Unhedged Acc,EUR,1,Ireland,"gettex, XETRA, London, Euronext Paris, Borsa Italiana",ETF,0.2,NTSZ,A419HX
LU1655103726,LU1655103726,Ossiam Bloomberg Japan PAB NR UCITS ETF H1C (EUR Hedged),EUR,1,Luxembourg,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange",ETF,0.25,OP5H,A2DVG5
IE000ZQF1PE1,IE000ZQF1PE1,iShares MSCI Europe Climate Transition Aware UCITS ETF EUR (Dist),EUR,1,Ireland,"gettex, XETRA",ETF,0.12,ECTD,A406Q7
IE00067X7JX0,IE00067X7JX0,Invesco EURO STOXX 50 Equal Weight UCITS ETF (Acc),EUR,1,Ireland,"XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.2,EWSX,A41G84
IE000DB78H45,IE000DB78H45,Invesco EURO STOXX 50 Equal Weight UCITS ETF (Dist),EUR,1,Ireland,XETRA,ETF,0.2,EWSD,A41G83
JE00B24DMJ18,JE00B24DMJ18,WisdomTree Industrial Metals Longer Dated,USD,1,Jersey,"gettex, XETRA, London",ETC,0.49,9GAK,A0SVXX
IE0005KF09R2,IE0005KF09R2,Invesco Global Active Defensive ESG Equity UCITS ETF Dist,EUR,1,Ireland,"gettex, XETRA",ETF,0.25,LVLD,A41GCD
IE000WOBV8X1,IE000WOBV8X1,Jupiter Global Government Bond Active UCITS ETF EUR Hedged (Acc),EUR,1,Ireland,"gettex, XETRA, Borsa Italiana",ETF,0.3,UGOV,A41MPH
IE000RC2UNU0,IE000RC2UNU0,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned UCITS ETF CHF Hedged (acc),CHF,1,Ireland,SIX Swiss Exchange,ETF,0.25,JSGC,A3D5KN
LU2469335611,LU2469335611,Amundi Global Aggregate SRI UCITS ETF DR Hedged USD (C),USD,1,Luxembourg,XETRA,ETF,0.16,AHYB,A3DKJ8
IE000IGMB3E1,IE000IGMB3E1,WisdomTree US Quality Dividend Growth UCITS ETF - GBP Hedged,GBP,1,Ireland,London,ETF,0.35,DGRB,A3ENGY
IE00BD6RZW23,IE00BD6RZW23,WisdomTree US Equity Income UCITS ETF EUR Hedged Acc,EUR,1,Ireland,"gettex, XETRA, SIX Swiss Exchange, Borsa Italiana",ETF,0.35,WTDY,A2AS6C
IE0000ZL1RD2,IE0000ZL1RD2,Global X AI Semiconductor & Quantum UCITS ETF USD Accumulating Share Class,USD,1,Ireland,"XETRA, London, SIX Swiss Exchange",ETF,0.35,C8PX,
IE00093SKUY4,IE00093SKUY4,iShares US Aggregate Bond UCITS ETF EUR Hedged (Dist),EUR,1,Ireland,"gettex, XETRA",ETF,0.3,CEBX,A401SK
IE000SNCKVM9,IE000SNCKVM9,Invesco S&P 500 Quality UCITS ETF Dist,USD,1,Ireland,"gettex, XETRA, London, Borsa Italiana",ETF,0.2,QSPD,A416NM
GB00BNGJ9H18,GB00BNGJ9H18,WisdomTree Physical Polkadot,USD,1,Jersey,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam",ETN,0.5,XDOT,A3GX36
IE000YG82CF0,IE000YG82CF0,iShares MSCI USA Climate Transition Aware UCITS ETF USD (Dist),USD,1,Ireland,"London, Euronext Amsterdam",ETF,0.07,UCTD,A406QB
IE000QAO7DD4,IE000QAO7DD4,Invesco BulletShares 2028 USD Corporate Bond UCITS ETF GBP Hdg Dist,GBP,1,Ireland,London,ETF,0.12,B28G,A40CG1
IE000R7HJVO6,IE000R7HJVO6,iShares US Equity Enhanced Active UCITS ETF EUR Hedged (Acc),EUR,1,Ireland,"gettex, Borsa Italiana",ETF,0.2,QN10,A40UH6
IE00BLR6Q650,IE00BLR6Q650,Global X Video Games & Esports UCITS ETF Dist GBP,USD,1,Ireland,London,ETF,0.5,HERG,A2QKQ2
IE000EXUE0G2,IE000EXUE0G2,Xtrackers NASDAQ 100 Swap UCITS ETF 1D,USD,1,Ireland,"gettex, XETRA, London",ETF,0.18,XNDX,DBX0W7
IE000R7DCW45,IE000R7DCW45,JPMorgan USD High Yield Bond Active UCITS ETF EUR Hedged (Dist),EUR,1,Ireland,"gettex, XETRA, SIX Swiss Exchange, Borsa Italiana",ETF,0.45,JPEY,A40MLW
LU2914157412,LU2914157412,Amundi Core MSCI Japan UCITS ETF USD Hedged Acc,USD,1,Luxembourg,XETRA,ETF,0.14,AMEV,ETF187
IE0008GBXCA4,IE0008GBXCA4,UBS S&P 500 Equal Weight SF UCITS ETF USD acc,USD,1,Ireland,"gettex, XETRA, London, SIX Swiss Exchange",ETF,0.12,BCFK,A40WU0
IE000TD32PU3,IE000TD32PU3,Regan Total Return Income Fund UCITS ETF,USD,1,Ireland,"gettex, XETRA, London, Borsa Italiana",ETF,0.75,MBSR,A419AQ
GB00BPDX1969,GB00BPDX1969,1Valour STOXX Bitcoin Suisse Digital Asset Blue Chip ETN,EUR,1,United Kingdom,"gettex, XETRA",ETN,1.9,BCIX,A3G96Z
IE00049BN7O1,IE00049BN7O1,UBS S&P 500 Climate Transition ESG UCITS ETF hGBP dis,GBP,1,Ireland,London,ETF,0.1,CT5G,A3E16N
IE000UWJUW87,IE000UWJUW87,HANetf KRC Cat Bond UCITS ETF (Acc),USD,1,Ireland,"XETRA, Borsa Italiana",ETF,1.28,C47B,A41QAN
IE00BF4TWF63,IE00BF4TWF63,WisdomTree Energy Enhanced,USD,1,Ireland,"gettex, XETRA, London, Borsa Italiana",ETC,0.4,XMWK,A2HH1T
IE0006YCYW06,IE0006YCYW06,JPMorgan US Equity Premium Income Active UCITS ETF EUR Hedged (Dist),EUR,1,Ireland,"gettex, XETRA, Borsa Italiana",ETF,0.35,JEIE,A41JQQ
IE000AY6KP29,IE000AY6KP29,iShares S&P 500 3% Capped UCITS ETF USD (Dist),USD,1,Ireland,"gettex, London, Euronext Amsterdam",ETF,0.2,4SH0,A412WJ
IE00BD5HBR05,IE00BD5HBR05,First Trust FactorFX UCITS ETF GBP Hedged Acc,GBP,1,Ireland,London,ETF,0.75,FXGB,A2AT6T
IE00041H4WT9,IE00041H4WT9,HANetf Future of Defence Screened UCITS ETF (Acc),USD,1,Ireland,"XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.49,ASWG,A41FJG
IE000WY37YU4,IE000WY37YU4,iShares EUR Corporate Bond 1-5yr UCITS ETF GBP Hedged (Dist),GBP,1,Ireland,London,ETF,0.25,IE1G,A3ETWB
IE000SYQFJV2,IE000SYQFJV2,Goldman Sachs Global Green Bond UCITS ETF EUR (Dist),EUR,1,Ireland,"gettex, London, SIX Swiss Exchange",ETF,0.22,GACM,A3EY1B
IE00069MGEE1,IE00069MGEE1,AXA IM US High Yield Opportunities UCITS ETF USD Dist,USD,1,Ireland,"gettex, XETRA, Borsa Italiana",ETF,0.35,AIHT,A40PRN
IE000HGH8PV2,IE000HGH8PV2,Global X S&P 500 Annual Tail Hedge UCITS ETF USD Accumulating,USD,1,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.5,5PAH,A3ECGK
DE000PZ9REM3,DE000PZ9REM3,BNPP RICI Enhanced Industriemetalle (ER) EUR Hedge ETC,EUR,1,Netherlands,"gettex, XETRA",ETC,1.2,0GZD,PZ9REM
LU1923163676,LU1923163676,Amundi Floating Rate Euro Corporate ESG UCITS ETF GBP Hedged (C),GBP,1,Luxembourg,Euronext Paris,ETF,0.2,AFRHG,A2PBLB
IE000EVUY6K9,IE000EVUY6K9,iShares Broad USD High Yield Corporate Bond UCITS ETF EUR Hedged (Dist),EUR,1,Ireland,"gettex, XETRA",ETF,0.22,HYHE,A41GW2
IE000JQ3ELQ8,IE000JQ3ELQ8,Goldman Sachs Global Government Bond Active UCITS ETF USD (Acc),USD,1,Ireland,London,ETF,0.2,,A41GBJ
IE000QWO5FT3,IE000QWO5FT3,iShares MSCI Japan SRI UCITS ETF EUR Hedged (Acc),EUR,1,Ireland,"gettex, XETRA",ETF,0.25,CEME,A419Z1
IE00BMH5YS76,IE00BMH5YS76,Global X Autonomous & Electric Vehicles UCITS ETF USD Distributing,USD,1,Ireland,London,ETF,0.5,DRVG,A2QR38
IE0003XI1PW0,IE0003XI1PW0,WisdomTree Strategic Metals UCITS ETF GBP Hedged Acc,GBP,1,Ireland,"gettex, London",ETF,0.55,WTD0,A40YEJ
IE0006FIW9Z0,IE0006FIW9Z0,JPMorgan Nasdaq Equity Premium Income Active UCITS ETF EUR Hedged (Dist),EUR,1,Ireland,"gettex, XETRA, Borsa Italiana",ETF,0.35,JEQE,A41JQM
IE000FK14CA5,IE000FK14CA5,Fidelity USD HY Corp Bond Research Enhanced PAB UCITS ETF INC-Euro (hedged),EUR,1,Ireland,"gettex, XETRA",ETF,0.35,FYUE,A3ERTM
XS3151431957,XS3151431957,WisdomTree S&P 500 EUR Daily Hedged,EUR,1,Ireland,"gettex, Borsa Italiana",ETN,0.05,WSPE,A4APY4
IE0009WWNY77,IE0009WWNY77,UBS S&P 500 Climate Transition ESG UCITS ETF hEUR acc,EUR,1,Ireland,"gettex, XETRA",ETF,0.1,BCFG,A3E16M
LU2993394241,LU2993394241,BNP Paribas Easy Alpha Enhanced EUR Corporate Bond UCITS ETF (Acc),EUR,1,Luxembourg,"gettex, XETRA, London, Euronext Paris, SIX Swiss Exchange",ETF,0.1,EDEK,A41D61
DE000A3GV1U5,DE000A3GV1U5,VanEck Polygon ETN,USD,1,Liechtenstein,"gettex, XETRA, SIX Swiss Exchange",ETN,1.5,VP0L,A3GV1U
XS3151433813,XS3151433813,WisdomTree World,USD,1,Ireland,Borsa Italiana,ETN,0.12,WWRD,A4APY5
IE000D1017N2,IE000D1017N2,WisdomTree Global Value UCITS ETF USD (Acc),USD,1,Ireland,"XETRA, London, Borsa Italiana",ETF,0.25,,A41FLQ
JE00B78CP782,JE00B78CP782,WisdomTree Brent Crude Oil Longer Dated,USD,1,Jersey,"gettex, XETRA, London",ETC,0.49,OOEB,A1N49N
XS3218061631,XS3218061631,YieldMax Ultra Option Income Strategy ETC,USD,1,Jersey,"gettex, XETRA, London, Euronext Paris",ETN,0.59,ULTY,A4AQSE
IE000S0PSP47,IE000S0PSP47,Vanguard USD Treasury Bond UCITS ETF GBP Hedged Distributing,GBP,1,Ireland,London,ETF,0.1,VDTS,A3C8S2
IE000Y65F5C2,IE000Y65F5C2,AXA IM MSCI Emerging Markets ex-China Equity PAB UCITS ETF EUR Hedged Acc,EUR,1,Ireland,"gettex, XETRA",ETF,0.3,AXQE,A40YRX
IE000GFG8GS0,IE000GFG8GS0,Invesco BulletShares 2029 USD Corporate Bond UCITS ETF GBP Hdg Dist,GBP,1,Ireland,London,ETF,0.12,B29G,A40CG3
IE00BLB2GS19,IE00BLB2GS19,iShares Growth Portfolio UCITS ETF USD Hedged (Acc),USD,1,Ireland,Euronext Amsterdam,ETF,0.25,MAGU,A3DGQD
LU2993401392,LU2993401392,BNP Paribas Easy Alpha Enhanced Global High Yield UCITS ETF (Acc),USD,1,Luxembourg,"gettex, XETRA, London, Euronext Paris, SIX Swiss Exchange",ETF,0.18,EDEH,A41D5Z
LU2993397939,LU2993397939,BNP Paribas Easy Alpha Enhanced USD Corporate Bond UCITS ETF (Acc),USD,1,Luxembourg,"gettex, XETRA, London, Euronext Paris, SIX Swiss Exchange",ETF,0.1,EDEI,A41ASP
